date,rating,userlocation,restaurant,comment
2012-02-17,2.0,"Raleigh, NC",Cafe Tiramisu,"Finally made it here, and finally got to use the Groupon I'd bought a long time ago.  Armed with $60 of credit that I'd paid $30 for, we ventured forth via the 6:30 reservation I made earlier this afternoon.  After a very tough work week, both of us were truly in need of a real meal.  And Cafe Tiramisu gave us not only a real meal, but a really GOOD real meal!   May I just say that I hope you appreciate the food porn, as this is not the easiest setting to get such?  This is a TINY (capacity 49) restaurant.  You need a reservation!  You also need to know you will be close to folks around you (husband got bumped badly repeatedly with a table sitting nearby), and you will have to squeeze by folks to get to a rest room.  That being said, you can also look at is as COZY.  So, I can now understand why there are only a couple food porn pics for this place so far, and why you should really appreciate the ones I am now posting.    Server:  Richard...awesome!  Friendly, knowledgeable, sense of humor...loved him!  Having perused the menu online before going, I had some idea of what I would be ordering, but Richard changed that by reciting daily specials.  We started with the special oyster appetizer:  fried oysters with a light lemon cream sauce.  It was 6 perfectly fried succulent oysters that were light and delicate with just a touch of sauce so they were rich, but not overly so.  Husband said he'd give them 6 stars.  Before that, the BREAD.  Seriously some of the best bread I've ever had.  So light, yet crusty and flaky.  How did they do that?  (I asked, you're welcome) Neomonde.  Ahhh, that makes perfect sense.  And the dipping oil was so fresh and flavorful.  It was green, yet didn't taste like basil.  Parsley?  If so, a very flavorful parsley.     We shared a Caeser salad next.  This would be our only mild disappointment of the night.  Kudos for them dividing it for us on separate plates, but while the lettuce was nice and green and cool, it was mostly devoid of flavor.  Very light dressing, croutons uninspiring and no detectable parmesan.  No biggee, just won't do that again here.  By the way, chardonnay lovers...Sonoma Cutrer for $8.95 a glass.  'nuff said.  For our mains, Husband went with the veal parmesan.  I opted for the special of the day (without asking how much...armed with Groupons one can be brave, ya know?):  it was a large shrimp baked in garlic special with spinach fettucine and a white clam sauce. Sold!  (price unknown, care to guess?)   Both entrees were very very good.  We would give them each 4-stars.  Husband thought his veal parmesan was excellent, but the pasta part just okay (he's used to mine, sorry Cafe Tiramisu...but I don't cook veal, so he could really appreciate that).  My meal was very good also...three giant shrimp, two of which were good, and one was outstanding, loved the homemade pasta cooked to perfect al dente, and the white clam sauce was perfect.  Clams were not in their shells, but that was a plus as they didn't get in the way, and were so TENDER (rare for clams)  and fresh-tasting.  It was the perfect amount of food.  Not too crazy big, yet filling.  We tried hard to be brave and not lick plates.  Dessert: Hearing the folks behind me talk about a dessert drink, I had to order one.  It was an espresso one, with vanilla liquor and all kinds of creamy rich delicious goodness.  Husband had the tiramisu which might just be his all time fave, and he's a tiramisu expert.  I tasted it and have to agree, it was excellent.  Atmosphere is very happy.  People are laughing, and having a good time.  You see great looking food on other tables, and the smells are amazing.  Small,  Intimate and very recommended.  Just make reservations or you won't get in, cause it is SMALL.   So, did you guess how much?  (neither did I)  Drumroll, please....  My special-I-don't-care-how-much-entree turned out to be $22.95.  Value for experience...INvaluable...and just what I needed after an especially tough week at work."
2012-03-08,3.0,"Raleigh, NC",Cafe Tiramisu,"My husband and I went to Cafe Tiramisu for the first time on Valentine's Day and I have to say, I wasn't all that impressed. While the food was tasty, the entrees were overpriced and the customer service was lacking. As such, I rate this restaurant with 2 stars because, meh, I've experienced better."
2012-03-11,4.0,"Raleigh, NC",Cafe Tiramisu,"Our friends had been talking about Café Tiramisu for quite a while and yesterday we finally went with them. Reservations are mandatory on a Saturday night - I called Friday and my choices were 6pm and after 9:30... so we picked 6pm.When we arrived it was obvious why reservations were hard to come by - this place is tiny. Maybe 12 tables (I didn't count though). There's a nice bar, too.We were seated promptly and dove into the menu - quite a good selection of Italian favorites. I ordered Carpaccio (always a must in a new Italian place for me) for my appetizer. It was good. Other folks on my table had the Lobster Bisque - very good - and a Salad. For the main course I got the Osso Buco which came highly recommended by our friends. It came with Spinach Fettucini and was good but for my taste needed just a little bit of salt added. Other folks had the Mahi Mahi special (good but the risotto that came with the fish was too rich for our friend's taste) and the Mussels (good, too, in a really good sauce).For dessert I got a Canneloni (about the usual) while our friends had the Tiramisu (highly recommended) and the Mango Sorbet (best part of our friend's meal according to her).The wine list is extensive with a really good selection throughout all price regions. Lots of affordable bottles of wine but also some available to splurge on if you so desire.Service was good - our waiter was attentive and always there when we needed him.Would I go back? Sure! Did it make my list of must eat at places? Not quite."
2012-04-05,5.0,"Raleigh, NC",El Pollo Rico Restaurant,"I've been back to El Pollo Rico twice in the last two days. Wow, their food is even better. Previously, their pupusas were somewhat lacking. They have stepped up their game and they are some seriously delicious eats. I had pork and cheese pupusas on both days. Today, I also had the plantanos fritos, sweet plantains, savory refried beans and crema. So friggin' good. My husband had the carne asada plate and really enjoyed it. The price is right and the food is satisfying. This place is still a winner."
2012-04-25,3.0,"New York, NY",Seaboard Cafe,Best burgers in Raleigh.
2012-05-10,4.0,"Morrisville, NC",Wade Park Cafe,"If you are looking for one of those hidden gems to have a good sammich at, this place is your spot. Not sure how I found out about this cafe, but while doing errands around Raleigh I decided to duck in and find it. It is way back in an office complex building on Wade Park Blvd off Edwards Mill Rd, near Cardinal Gibbons High School area. If you didn't know it was there, you'd never look for it!There is a corner entrance so you don't have to go into the (very very nice) office building itself. It is a very modest, simple place but decorated nicely, see the pics I managed to nab. You order at the counter and the staff bring it out with your name as the identifer on the order. Their goods range from sandwiches and paninis, salads and soups, and even breakfast if you catch them early enough.  There are daily specials as well. As I stopped in on a Wednesday, I chose the Super Reuben daily special with corned beef and turkey with a side of chips. It was great, it is rarely that a sandwich satisfies me for a meal but this one did the trick, and pretty tasty to boot. They have a large assortment of drink options, from self serve fountain drinks to a self serve fridge of fruit juices and drinks and other assorted beverages. I got a Berkley & Jensen Mandarin Orange Sparking Water Beverage in a 20 oz bottle, delish...I'm going to remember that one. The staff were busy with their duties but nice and attentive on my visit. Catch 'em early though, because they are only open until 230pm. Nice for the office staff in this complex to get a good lunch.Bottom line: Great hidden gem for a good sammich. Lots of choices. Modest cafe but clean and nice, with good staff. There is even a nice park opposite the building so if you want to go outside and eat, you can enjoy (water fountain, sculpture art, benches, and all). I think these guys are going to see me again."
2012-05-29,4.0,"Chapel Hill, NC",Wade Park Cafe,"Wow! This little place is amazing! I rushed in before 2:30 and was pleasantly surprised with the results. I had recently spotted a groupon for the cafe and decided to try it out. The staff members were very pleasant and helpful. I decided to order the Chicken Salad Club with chips and the Italian Panni with fruit, and despite the fact that they both tasted amazing, there was no way I could eat soooo much food! The fruit was fresh and tasted so sweet! The sandwiches were wonderful for a hot afternoon. And, trust me, you definitely get your money's worth of food for the price! I will definitely be going back to this cafe during the summer."
2012-06-05,5.0,"Raleigh, NC",Seaboard Cafe,"When my mom came to visit, I was excited to try out this cafe with her-- she loves working in her garden, so I figured a cafe in a garden shop was a no brainer! We came on a Friday around 12 and the line was already curved around the corner. The staff must be used to this-- there was a guy taking orders about halfway down the line, so that once we got to the register we could just pay instead of gawking at the menu. So when I finally took a look at the menu, I was a little surprised to see nothing that really struck my fancy-- there were a lot of mayo heavy dishes which I stay away from and chicken salad seems to be their main event. I ended up selecting the grilled chicken sandwich with a peach-pepper relish, my mom got the apricot chicken salad du jour on a croissant and my boyfriend got the burger and fries. Hands down, my favorite thing about this place was the fact that you could put fresh mint and lemons in your tea. Other than that, the food was fair, but nothing special. My sandwich was fairly bland (I had to ask for a side of mustard since the relish barely tasted like anything) and the chicken breast hadn't been pounded flat, making the sandwich a little cumbersome to eat. My mom loved her chicken salad croissant, however, and Andrew had no complaints about his burger.I'm glad we got to try it out and the location really is lovely...next time you're in Seaboard Station on a pretty day and are looking for a casual, unique spot to catch a bite, give this place a try! Just make sure your date isn't mayo-adverse ;)"
2012-06-07,2.0,"Durham, NC",Manhattan Cafe,"Had to be in Raleigh for a few hours yesterday, so on the way back to the parking garage I started looking for a place for a late lunch.  Spotted the Manhattan Cafe across the street and wandered over.  Had one of the best cheeseburgers with fries ever!  The burger was just right and had lots of cheese melted on top.  The fries were hot and crisp.  They even had Cheerwine in the drink dispenser.  They had a lot of other offerings like salads and a wide selection of sandwiches, but I'm not sure I can get past the burger here.  Service was friendly and efficient and the place was clean."
2012-06-27,5.0,"Raleigh, NC",Cafe Tiramisu,One of my favorite local drop ins. Great authentic Italian foods and wines. Will always return.
2012-07-01,5.0,"Raleigh, NC",Got to Be NC Competition Dining,"An awesome cooking and dining experience, the Fire in the Triangle series will hopefully become a yearly occurrence.  Hit up the Sono vs. Flights competition last week and all I can say is that it's a first class event.  From the choice of the 1705 Prime Chophouse to the production of the competition, a fun and well organized eating-fest!  We came in early for a couple of cocktails at the lounge, most everyone was dressed up for a high-end dining experience sporting business casual and cocktail wear.  As we moved into the dining room to our assigned tables, the staff is making sure all your needs are well taken care of from a beverage standpoint.  TV's line the room showing off the chef teams and adverts for Got to Be NC who sponsors the event.  The emcee Jimmy Crippen gets the excitement and your appetite going as you prepare to be led down a high-end feasting trail.  You've got six smallish courses to go through and you have no idea who cooked what, the description of each dish is flashed on the screen and voting is done through paper ballot or your smartphone using a QR code.And tonight's special/secret ingredient is noodle, happy day for me but not a great choice for my gluten-free friend, Gina B.  Over the course of the night we tried a lobster dumpling, smoked duck, braised pork with collards and fried noodle roll, a shrimp roll over lemon cream sauce and finally, a blackberry cake with pistachio cigarette.  All very well done, especially under the tight timing and circumstances.  At the end of the evening, the teams are introduced to the dining public as the votes are tabulated...  And the winner is, FLIGHTS which kicked so much culinary butt with its blackberry cake.  The voting was tight, Sono probably missed the boat without a sweet and happy ending.  In the end the real winners were anyone and everyone who was here at the event because it was awesome.  And for those of you who have tickets to the final event, I am totally envious of y'all.  Because I guarantee you, it's going to be an amazing culinary and dining experience.  No doubt..."
2012-07-06,5.0,"Cary, NC",Wade Park Cafe,"We had heard about this place from a friend.  We work about a 7-8 minute drive from here so decided to try it out today.  The woman running the place was very helpful and patient as we read through the menu at the counter to decide.  She offered suggestions as well.I had the Italian panini and my coworker had a half sandwich/half salad combo.  He got roast beef & horseradish.  Both sandwiches were very good and had plenty of meat and other items on them.   His salad was large and had a fresh variety of lettuce and other vegetables in it.  I chose half fruit and half chips for my included side.  The fruit was very good and fresh.  Next time, I'll get all fruit.There are several items on the menu that I'd like to try so we'll be back.Overall, great sandwiches and fresh salads.  Go for the half sandwich/half salad combo for best value and variety!  They are only open from 10:30-2:30."
2012-07-11,5.0,"Raleigh, NC",Wade Park Cafe,"Moving to west Raleigh, saw Wade Park Cafe on YELP.  Hidden away on Wade Park Blvd off of Edwards Mill Rd.  Reviews are spot on - nice little cafe.  Quite, clean, friendly.  VERY GOOD food - panninis, wraps, salads.  Highly recommend for a good lunch.  Breakfast menu too.."
2012-07-17,5.0,"Raleigh, NC",Got to Be NC Competition Dining,"Fire in the Triangle is a fantastic event! I went to last night's Heron's vs 518 West showdown, where corn was the secret ingredient. It was even better than I had hoped. First class experience. My only disappointment is I don't have tickets to the remaining Triangle challenges. Seriously contemplating the 3 hour round trip to Greensboro for ""Fire in the Triad"" in Aug/Sept. Rumor has it, the final 4 winners from Fire on the Rock, on the Dock, in the Triangle and in the Triad will face off. Count me in if that happens!"
2012-07-17,5.0,"Clayton, NC",Got to Be NC Competition Dining,"We've been looking forward to this event for weeks and Ron and Lori's reviews added to our excitement!They are right on every count.  The event was incredibly well organized and professionally run.  Major kudos to Jimmy Crippen for his efforts to run this event and bring it to us.The chefs were Serge Falcoz-Vigne of  518 West, Raleigh  and John Childers Herons, Cary and the secret ingredient was corn.  They prepared some spectacular dishes.  Rather than listing them all, I'll just send you to the results page and you can see the great food for yourself. competitiondining.com/re…I have to say that I thought it was a bargain at $49 a person.  As Lori mentioned, if you don't yet have tickets you are out of luck.  However, they are coming to the Triad in August/September.  I think it will be worth the drive!"
2012-08-01,4.0,"Durham, NC",Got to Be NC Competition Dining,"4.5 stars for the finale event; but I'm rounding up given the novelty of this series, and it's inaugural appearance in the Triangle. I can tell you I'm certainly looking forward to next year; and also strongly considering attending one of the Triad competitions.Firstly, the logistics; and then the food.. So much about this contest has been fine-tuned (over years past, held in other NC regions) that, for the most part, it runs really smoothly! The few things that bothered me were that when I purchased tickets online, I didn't receive an email confirmation; similarly, there was no reminder email with date/time/dress code/location, so you had to search for that info on the website. We also didn't start on time, since a few folks were stuck in accident traffic on 40. It was nice of the host to wait for them, and we had bread at the table in the meantime. Everything else was handled pretty perfectly -- from check-in, to video production, to soundtracks (think Rocky theme songs, complete with training montages!). Also the voting app is fab, and real-time results are immediate!1705 Prime is a great location for this event. The bar and lounge make a nice cocktail hour before seating time. The dining room is comfortable with tables seating six. And the staff was efficient with clearing plates and getting drinks. However, they bussed my silverware with each plate and failed to bring new utensils. On my third course, I asked if I could get a new fork, and the gal delivering my plate told me it was a ""spoon dish."" It was pork shoulder. I attempted to eat it with a spoon, but had to give up; flagged another server who brought me a fork and knife. After that course was over, the server seemed to take notice of our table's depleting utensils and took care of replenishing them before needed. The food... the finale was between Herons and Weathervane. I was really excited about the match-up. Then we learned that there would be not one, but two secret ingredients: chocolate and grits. These are tough ingredients! And many of the dishes produced had pronounced chocolate and a not-so-creative use of grits, so that our table-mates actually grew verbally weary of the cuisine. Surprising too, there was no use of vegetables! So the first four courses were all meat and grits. I did enjoy taking in the many facets of each plate (the aroma, presentation, use of secret ingredient, and so on). And was certainly impressed with some of the offerings, and full after finishing them all. Although for the finale, I think frankly, I was expecting a bit more pizzazz. Standouts for me were the housemade sausage, served with grits and crumbled cheese. Also the petit filet, with white chocolate-sweetened grits and a plate dotted with a citrus syrup. Couldn't taste the supposed cocoa rub on the filet, but the other flavors came across beautifully. All in all, I truly enjoyed myself, and found it to be a unique and engaging experience. One that I would definitely repeat! Not knowing the secret ingredient or -- in the final rounds -- the competing chefs at your point of purchase, really only makes the Russian Roulette of it all more exciting."
2012-08-01,5.0,"Phoenix, AZ",Got to Be NC Competition Dining,"If you love food, and all of the shows on TV about food, this is the event to attend in the Triangle. When the best compete with unknown ingredients, they get to face off in a challenge that you help decide the winner of.We decided to try the final battle between Herrons and the Weathervane. Secret ingredients were ""grits and chocolate"". A six course meal followed where you used your smart phone to judge such things as appearance, aroma, taste, etc.What fun for a true foodie! Lots of discussions at each table and it was very interesting to compare notes with people eating the same thing. I truly believe we will attend something like this again.This is a well put together event, and a truly unique experience to our area.The winner I won't reveal (Look it up!) received a red chef jacket and a $2000 check and of course bragging rights.I believe there is going to be an upcoming one in Greensboro for that area, if you missed this event.Plan on a special and fun night, bring friends and family, taste, discuss and vote!"
2012-10-02,5.0,"Durham, NC",Brookside Market & Deli,"The convenience of this place is undeniable. Odd location, but yet in a spot where there really isn't a lot around. Other than neighborhoods. So I love to pop in here and grab that last minute item I forgot on the way home. However, what truly makes me a fan of this food is the awesome food they serve. I've lost count of how many Chicken Shawarmas I've had from here! They have an impressive assortment of Mediterranean foods that they cook up fresh for you and it's delicious. My recommendation is of course the Chicken Shawarma, but also try the Baba Ganoush. REALLY good.The one downside is the stuff in that cooler next to the kitchen area where they usually have the cheesecakes and stuff. Last time I was in there, I got a piece of cheesecake and there was something really wrong with it. I think it was cooling properly. The cheesecake was lukewarm. Other than that, everything was great"
2012-10-14,5.0,"Raleigh, NC",Brookside Market & Deli,"So I'm still watching my Blu-ray ""Marvel's The Avengers,"" so yes I'm still on my shawarma kick, and so was my brother. So before we headed over to Cooke street, I made a quick stop at Brookside Deli.The price is decent here, and place is sparkling clean. The tables are a bit small, especially when one orders and eats the way I do, but tables and chairs are covered and maintain cleanliness.I chosed stuffed grape leaves, hummus, and baba ghanouj for the Mediterranean Sampler. I love stuffed grape leaves, and these are wrapped smaller; I think the cold ones can be much better with a bit more oil. Hummus was good. Baba ghanouj has a strong smokey flavor, unlike any I've taste before, so that's new.Brookside use thicker flour pita, not the pocket kind, so the shawarma is more like a gyro, which is just as good. Both chicken and beef/lamb variety are good.P.S. I kinda was hoping to see the meat spit. Not sure why I'm always so interested in those things.The (co-?)owner is a really nice dude. I told him I just watched The Avengers, again and again, and he knew what I wanted to order, same thing Tony Stark kept babbling about."
2012-11-13,4.0,"Raleigh, NC",Brookside Market & Deli,"Great unexpected Mediterranean find with a cool local vibe. I'd popped in to ask about the nearest bank (way too far!) on the way to buy hopscotch tix nearby, and settled with their ATM since I was on a time crunch. The owners are super laidback/friendly and after hearing I was new to the area, they sat me down, made me a plate and treated me to a taste of everything!!They've got an impressive menu (with all the traditional american market deli food as well - not that i've  ever  had a reason to migrate away from the fallafel) I've been salivating over their chicken shawarma, and fresh hummus ever since - and I mean FRESH as in they boil down the chickpeas themselves... everything's made in house.  The Baba ganoush was amazing , great tabouli, and with really fresh hot pita....... I take my out of towners there now too and never left without a few  ""i need to live next door to this"" comments.  Also, the whole market was really clean, organized, and fully stocked to the point i avoided the grocery store another week after my little pit stop :) Pretty sure they had free wi-fi too.........Enjoy!"
2012-11-20,5.0,"Raleigh, NC",Bloomsbury Bistro,"Went here for our anniversary dinner and had one of the best meals we've ever had in the Triangle. Everything was delicious from appetizer to wine to dessert, along with a very friendly and helpful waitstaff.  I love the changing, seasonal menu as well. My venison was cooked perfectly and paired with delicious veggies. The atmosphere is not the best, as our table for 2 was very close to the other 2 person tables, but we still felt like we could talk without being infringed on or infringing on our neighbors.  In short, if you're looking for a splurge I would highly recommend Bloomsbury Bistro."
2013-01-26,4.0,"Raleigh, NC",Seaboard Cafe,Food is always fresh.  Staff always has on a smile.  Specials are great there too!  Great outdoor seating as well.
2013-01-27,4.0,"Raleigh, NC",Lee’s Kitchen,"I have not had anything here that was not excellent.  Chicken dishes are stocked full with chicken including lots of white meat chicken, rather than skin, bones and gristle which you see with other places.  Oxtails are super tender and flavorful (I didn't eat oxtails before Lee's Kitchen!).  Collard greens and cornbread just so good and flavorful.  I can't get enough Lee's.  And there is now a 2nd location with seating.Dishes generally come with rice and beans/peas or cabbage.  I recommend the dinner portion, I've never had the lunch portion and as good as it is, I'd prefer dinner portions and having leftovers (however I usually eat it all)"
2013-02-16,2.0,"Raleigh, NC",Brookside Market & Deli,"Thursday night is Indian night. Make it happen in your life, because homestyle Indian food is a rare find outside of the Cary/Morrisville area. It comes with everything you need in a meal for around $8; bring your appetite, though, because portions are generous.The rest of the week, you can find delicious Mediterranean food that also combines affordability, freshness and tastiness in one package. The deli can get busy in the afternoon; I've stopped by to grab a quick lunch only to find a line, but don't let that thwart you! There isn't a line because of slow or inattentive staff - quite the opposite! - but because the food is fresh and each serving is prepared to order. The convenience store itself is nicer than average, clean, and a useful addition to the neighbourhood; the deli is an absolute blessing. Don't be put off by the bland exterior, because it hides a small business gem!"
2013-02-17,5.0,"Raleigh, NC",Lee’s Kitchen,"I absolutely adore this place of Caribbean Goodness.  I have had the jerk chicken, curry chicken, brown stewed chicken (MY ABSOLUTE FAVE!!!), cabbage, rice and peas, white rice, greens, mac and cheese and various slices of cakes.  Before Lee's I had never had brown stewed chicken, now it is my favorite dish to order at ANY Caribbean restaurant.  Unfortunately, no one can touch LK's version.  Fortunately, it keep me coming back to Lee.  LOL.  I will say the female staff can be extremely rude.  I actually have snapped back when they snap first because there is no way that anyone in a service position should be speaking to a customer like that.  The male staff (Including Lee) are absolutely personable, charming and accommodating.   The price point is a little high but the food is fresh and good.  One time they royally screwed up my catering order and this is when I had to snap back at the rude female employee who could have cared less my party was in less than an hour and she refused to make the dish.  It was a mess.  Overall, I give LK's a 4 star.  Would have been a 5 if the customer service was up to par."
2013-02-27,5.0,"Raleigh, NC",Bloomsbury Bistro,GREAT FOOD! This is such a wonderful restaurant. The menu is always changing and always fresh. If you are looking for a great dinner this is the place to go.
2013-03-04,5.0,"Charlotte, NC",Shish Kabob,"Great spot for a quick lunch. Conveniently located by the Marriott and the Convention Center. Fast service and great Mediterranean options - kabobs, salads, gyros, hummus... I ordered a chicken kabob served with a Greek salad. Slightly overdressed salad but the marinated & grilled chicken was perfectly cooked."
2013-03-17,5.0,"Durham, NC",Lee’s Kitchen,"I absolutely LOVE this place!!!! There is nothing that I haven't tried that doesn't make me want to go back for more and more and more!!! I love it sooooo much that I was on my way to pickup my order one day and I got in a minor car accident (I wasn't at fault :) and afterwards even with my little headache and hurt knee I went to get my togo order!First let me tell you a little bit about the place. The restaurant serves authentic Jamaican and Soul food. So you can get curry chicken and collards, or plantains and smothered pork chops.  :) The restaurant is carryout only and you should definitely call ahead to place your order because sometimes its a little hectic in there (people love this place)!I'm a big fan of the collards, no seasoning needed!  I normally go somewhere and have to add vinegar or something to my collards to make them taste better but these can be eaten without any self add-ons. The macaroni is sooooo good, Idk what they do to it but its unique and yummy. The curry chicken is definitely amazing! I normally dont eat onions but the curry is soooo good I refuse to pick thru it! The prices here are amazing. You can get a side meat of curry chicken (or other meats) for $5 and it comes with rice and peas or plain white rice! And its enough to get full off of. Sides come with most of the meals and you can also buy them individually for I think $3 and you get a HUGE portion.Just to name some items they have on the menu... Pork Chops (done several ways), chicken, fish, curry chicken, jerk chicken, brownstew chicken, cabbage, collards, macaroni.....I highly recommend this place for anyone who is looking for a nice Jamaican meal or soul food. I could eat here everyday!!!!"
